title,address,city,state,postal_code,price,facts and features,real estate provider,url
Condo for sale,,San Francisco,CA,94158,"$2,995,000 ","2 bds, 3.0 ba ,2435 sqft",Vanguard Properties,https://www.zillow.com/homedetails/255-Berry-St-APT-708-San-Francisco-CA-94158/64971785_zpid/
Condo for sale,,San Francisco,CA,94158,"$1,395,000 ","2 bds, 2.0 ba ,1156 sqft",Mosaik Real Estate,https://www.zillow.com/homedetails/1000-3rd-St-UNIT-906-San-Francisco-CA-94158/249664725_zpid/
Condo for sale,,San Francisco,CA,94158,"$950,000 ","1 bds, 1.0 ba ,856 sqft","Side, Inc.",https://www.zillow.com/homedetails/300-Berry-St-UNIT-1504-San-Francisco-CA-94158/96042994_zpid/
Condo for sale,,San Francisco,CA,94158,"$1,525,000 ","2 bds, 2.0 ba ,1160 sqft",Compass,https://www.zillow.com/homedetails/110-Channel-St-UNIT-611-San-Francisco-CA-94158/249664678_zpid/
Condo for sale,,San Francisco,CA,94158,"$1,299,000 ","2 bds, 2.0 ba ,None sqft",Keller Williams San Francisco,https://www.zillow.com/homedetails/255-Berry-St-APT-511-San-Francisco-CA-94158/64973017_zpid/
Condo for sale,,San Francisco,CA,94158,"$1,038,000 ","1 bds, 1.0 ba ,830 sqft",,https://www.zillow.com/homedetails/1000-3rd-St-UNIT-508-San-Francisco-CA-94158/249665283_zpid/
New construction,,San Francisco,CA,94158,"$1,160,000 ","1 bds, 1.0 ba ,943 sqft",Compass,https://www.zillow.com/homedetails/420-Mission-Bay-Blvd-N-UNIT-704-San-Francisco-CA-94158/115828662_zpid/
Under Contract,,San Francisco,CA,94158,"$820,000 ","1 bds, 1.0 ba ,728 sqft",Better Homes and Gardens Thriv,https://www.zillow.com/homedetails/300-Berry-St-UNIT-1502-San-Francisco-CA-94158/96047989_zpid/
Condo for sale,,San Francisco,CA,94158,"$1,050,000 ","1 bds, 1.0 ba ,880 sqft",Coldwell Banker Realty,https://www.zillow.com/homedetails/718-Long-Bridge-St-APT-323-San-Francisco-CA-94158/184818408_zpid/
Condo for sale,,San Francisco,CA,94158,"$1,650,000 ","2 bds, 2.0 ba ,1372 sqft",Skybox Realty,https://www.zillow.com/homedetails/435-China-Basin-St-UNIT-544-San-Francisco-CA-94158/116157334_zpid/
Under Contract,,San Francisco,CA,94158,"$1,299,000 ","2 bds, 2.0 ba ,1208 sqft",Compass,https://www.zillow.com/homedetails/325-Berry-St-APT-616-San-Francisco-CA-94158/83154454_zpid/
Condo for sale,,San Francisco,CA,94158,"$998,000 ","2 bds, 2.0 ba ,1216 sqft",Corcoran Global Living,https://www.zillow.com/homedetails/300-Channel-St-51-San-Francisco-CA-94158/2077250594_zpid/
Condo for sale,,San Francisco,CA,94158,"$1,687,500 ","3 bds, 3.0 ba ,1780 sqft",Corcoran Global Living,https://www.zillow.com/homedetails/300-Channel-St-14-San-Francisco-CA-94158/2077320171_zpid/
New construction,,San Francisco,CA,94158,"$2,998,000 ","3 bds, 2.0 ba ,1827 sqft",SagePoint,https://www.zillow.com/homedetails/1000-3rd-St-UNIT-1102-San-Francisco-CA-94158/249665410_zpid/
Condo for sale,,San Francisco,CA,94158,"$533,786 ","2 bds, 1.0 ba ,783 sqft",Home Quest Realty,https://www.zillow.com/homedetails/330-Berry-St-UNIT-407-San-Francisco-CA-94158/96016432_zpid/
Condo for sale,,San Francisco,CA,94158,"$1,399,000 ","2 bds, 2.0 ba ,1156 sqft",Compass SF,https://www.zillow.com/homedetails/1000-3rd-St-UNIT-706-San-Francisco-CA-94158/249664696_zpid/
New construction,,San Francisco,CA,94158,"$825,000 ","0 bds, 1.0 ba ,538 sqft",SagePoint,https://www.zillow.com/homedetails/110-Channel-St-326-San-Francisco-CA-94158/249664926_zpid/
New construction,,San Francisco,CA,94158,"$1,750,000 ","2 bds, 2.0 ba ,1234 sqft",SagePoint,https://www.zillow.com/homedetails/1000-3rd-St-UNIT-303-San-Francisco-CA-94158/249664821_zpid/
Under Contract,,San Francisco,CA,94158,"$1,695,000 ","3 bds, 3.0 ba ,1723 sqft",Engel & Voelkers San Francisco,https://www.zillow.com/homedetails/255-Berry-St-APT-106-San-Francisco-CA-94158/64972968_zpid/
Condo for sale,,San Francisco,CA,94158,"$1,028,000 ","1 bds, 1.0 ba ,767 sqft",Compass,https://www.zillow.com/homedetails/1000-3rd-St-UNIT-818-San-Francisco-CA-94158/249665452_zpid/
Condo for sale,,San Francisco,CA,94158,"$1,150,000 ","2 bds, 2.0 ba ,917 sqft",Coldwell Banker Realty,https://www.zillow.com/homedetails/335-Berry-St-UNIT-402-San-Francisco-CA-94158/96031440_zpid/
Condo for sale,,San Francisco,CA,94103,"$1,195,000 ","2 bds, 2.0 ba ,1565 sqft",San Francisco Marketing,https://www.zillow.com/homedetails/520-6th-St-APT-14-San-Francisco-CA-94103/2089902919_zpid/
Condo for sale,,San Francisco,CA,94158,"$848,000 ","1 bds, 1.0 ba ,732 sqft",,https://www.zillow.com/homedetails/300-Berry-St-UNIT-1303-San-Francisco-CA-94158/96028168_zpid/
New construction,,San Francisco,CA,94103,"$700,000 ","2 bds, 2.0 ba ,955 sqft",Keller Williams San Francisco,https://www.zillow.com/homedetails/1376-Natoma-St-San-Francisco-CA-94103/2077146486_zpid/
House for sale,,San Francisco,CA,94110,"$1,190,000 ","3 bds, 2.0 ba ,1450 sqft",Redfin,https://www.zillow.com/homedetails/336-Bradford-St-San-Francisco-CA-94110/15163061_zpid/
Condo for sale,,San Francisco,CA,94124,"$680,000 ","1 bds, 1.0 ba ,817 sqft",,https://www.zillow.com/homedetails/5800-3rd-St-UNIT-1211-San-Francisco-CA-94124/119685501_zpid/
Condo for sale,,San Francisco,CA,94110,"$895,000 ","1 bds, 2.0 ba ,910 sqft",,https://www.zillow.com/homedetails/2600-18th-St-SUITE-8-San-Francisco-CA-94110/59779960_zpid/
Condo for sale,,San Francisco,CA,94110,"$759,000 ","2 bds, 1.0 ba ,842 sqft",Compass,https://www.zillow.com/homedetails/2987-Mission-St-APT-204-San-Francisco-CA-94110/15180659_zpid/
Condo for sale,,San Francisco,CA,94158,"$2,698,888 ","2 bds, 2.0 ba ,1569 sqft",Vanguard Properties,https://www.zillow.com/homedetails/718-Long-Bridge-St-APT-1605-San-Francisco-CA-94158/2097568814_zpid/
House for sale,,San Francisco,CA,94110,"$1,295,000 ","3 bds, 2.0 ba ,1475 sqft",Vanguard Properties,https://www.zillow.com/homedetails/2812-21st-St-San-Francisco-CA-94110/2073579051_zpid/
House for sale,,San Francisco,CA,94124,"$959,000 ","4 bds, None ba ,1555 sqft",Compass SF,https://www.zillow.com/homedetails/1762-La-Salle-Ave-San-Francisco-CA-94124/15155905_zpid/
Condo for sale,,San Francisco,CA,94107,"$1,050,000 ","3 bds, 1.0 ba ,1297 sqft",Compass,https://www.zillow.com/homedetails/197-Mississippi-St-A-San-Francisco-CA-94107/96040151_zpid/
Condo for sale,,San Francisco,CA,94110,"$1,099,000 ","1 bds, 2.0 ba ,1003 sqft",Compass,https://www.zillow.com/homedetails/1800-Bryant-St-SUITE-313-San-Francisco-CA-94110/54896259_zpid/
Condo for sale,,San Francisco,CA,94107,"$839,000 ","1 bds, 1.0 ba ,660 sqft",,https://www.zillow.com/homedetails/451-Kansas-St-UNIT-419-San-Francisco-CA-94107/89239205_zpid/
House for sale,,San Francisco,CA,94124,"$998,000 ","3 bds, 3.0 ba ,1720 sqft",,https://www.zillow.com/homedetails/540-Griffith-St-San-Francisco-CA-94124/15153203_zpid/
